"","labID","genos","missing"
"1","z0006796",151,34
"2","z0006797",43,142
"3","z0006798",167,18
"4","z0006799",180,5
"5","z0006800",162,23
"6","z0006801",152,33
"7","z0006802",178,7
"8","z0006803",161,24
"9","z0006805",167,18
"10","z0012480",158,27
"11","z0012481",170,15
"12","z0012482",155,30
"13","z0012483",164,21
"14","z0012484",151,34
"15","z0012485",169,16
"16","z0012486",154,31
"17","z0012488",147,38
"18","z0012489",176,9
"19","z0012490",118,67
"20","z0012491",166,19
"21","z0012492",177,8
"22","z0012493",146,39
"23","z0012494",154,31
"24","z0012497",172,13
"25","z0012499",168,17
"26","z0012500",176,9
"27","z0012502",94,91
"28","z0012503",154,31
"29","z0012504",172,13
"30","z0012505",134,51
"31","z0012511",153,32
"32","z0012515",134,51
"33","z0012517",148,37
"34","z0012519",165,20
"35","z0012520",169,16
"36","z0012521",172,13
"37","z0012522",152,33
"38","z0012523",141,44
"39","z0012524",146,39
"40","z0012525",152,33
"41","z0012526",1,184
"42","z0012527",179,6
"43","z0012528",155,30
"44","z0016882",135,50
"45","z0016883",171,14
"46","z0016884",172,13
"47","z0016885",153,32
"48","z0016886",136,49
"49","z0016887",138,47
"50","z0016888",146,39
"51","z0026450",177,8
"52","z0026451",157,28
"53","z0026452",151,34
"54","z0026456",141,44
"55","z0026457",177,8
"56","z0026458",139,46
"57","z0032021",175,10
"58","z0032022",104,81
"59","z0032023",135,50
"60","z0032024",157,28
"61","z0032030",79,106
"62","z0032031",151,34
"63","z0035352",175,10
"64","z0037412",180,5
"65","z0037417",154,31
"66","z0037418",151,34
"67","z0037419",169,16
"68","z0037422",162,23
"69","z0037463",173,12
"70","z0037464",166,19
"71","z0037466",162,23
"72","z0037467",147,38
"73","z0037468",157,28
"74","z0037471",159,26
"75","z0040942",172,13
"76","z0061457",158,27
"77","z0061464",168,17
"78","z0061467",170,15
"79","z0061468",146,39
"80","z0062622",178,7
"81","z0062627",171,14
"82","z0062630",169,16
"83","z0062634",162,23
"84","z0062636",163,22
"85","z0062680",162,23
"86","z0062681",173,12
"87","z0062687",172,13
"88","z0062737",156,29
"89","z0062742",163,22
"90","z0062743",178,7
"91","z0062752",179,6
"92","z0062761",174,11
"93","z0062766",175,10
"94","z0062787",167,18
"95","z0076691",178,7
"96","z0076693",173,12
"97","z0076695",173,12
"98","z0076697",176,9
"99","z0076699",163,22
"100","z0076701",155,30
"101","z0076703",151,34
"102","z0076705",152,33
"103","z0076707",164,21
"104","z0076709",164,21
"105","z0076711",159,26
"106","z0076713",152,33
"107","z0076715",157,28
"108","z0102589",165,20
"109","z0102605",169,16
"110","z0102610",176,9
"111","z0102616",170,15
"112","z0102682",133,52
"113","z0117088",133,52
"114","z0117094",128,57
"115","z0117103",153,32
"116","z0134055",145,40
"117","z0134059",142,43
"118","z0134061",132,53
"119","z0134064",91,94
"120","z0134066",125,60
"121","z0134070",170,15
"122","z0134074",172,13
"123","z0134087",132,53
"124","z0134095",120,65
"125","z0134097",141,44
"126","z0134098",153,32
"127","z0134101",162,23
"128","z0134108",155,30
"129","z0134109",154,31
"130","z0134111",146,39
"131","z0134112",180,5
"132","z0134113",170,15
"133","z0178009",177,8
"134","z0178011",177,8
"135","z0178014",176,9
"136","z0207730",177,8
"137","z0207745",173,12
"138","z0210588",178,7
"139","z0216904",177,8
"140","z0216906",169,16
"141","z0216907",120,65
"142","z0216908",52,133
"143","z0216910",72,113
"144","z0216911",8,177
"145","z0216912",1,184
"146","z0216913",134,51
"147","z0216914",55,130
"148","z0216915",29,156
"149","z0216916",38,147
"150","z0216917",14,171
"151","z0216918",157,28
"152","z0216919",1,184
"153","z0216920",74,111
"154","z0216921",39,146
"155","z0216922",12,173
"156","z0216924",79,106
"157","z0216926",121,64
"158","z0216927",133,52
"159","z0216928",176,9
"160","z0216929",30,155
"161","z0216930",175,10
"162","z0216931",148,37
